name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Candidatus Thioglobus autotrophicus	1705394	species	1512449	6	4	0.0
Capnocytophaga sp. oral taxon 323	1705617	species	2614527	5	2	0.0
Cellvibrionaceae	1706371	family	0	1	0	0.0
Massilia sp. WG5	1707785	species	6267305	117	70	0.0
Thermococcus piezophilus	1712654	species	1928800	3	1	0.0
Turicibacter sp. H121	1712675	species	2622031	5	4	0.0
Microbacterium sp. No. 7	1714373	species	4827965	70	52	0.0
Klebsiella sp. G5	1715259	species	4702949	24	13	0.0
Staphylococcus sp. AntiMn-1	1715860	species	2738396	1	1	0.0
Candidatus Nitrospira inopinata	1715989	species	3295117	29	21	0.0
Desulfovibrio sp. J2	1716143	species	3966573	95	58	0.0
Mycobacterium phage Theia	1718172	species	50999	1	0	0.0
Psychrobacter sp. AntiMn-1	1720344	species	3138120	6	4	0.0
Chryseobacterium sp. IHB B 17019	1721091	species	4077766	9	7	0.0
Rhodococcus sp. 008	1723645	species	7438324	23	8	0.0
Streptomyces sp. CdTB01	1725411	species	10191567	117	66	0.0
Algoriphagus sp. M8-2	1727163	species	3882610	9	6	0.0
Pedobacter sp. PACM 27299	1727164	species	6147290	9	6	0.0
Methylomonas sp. DH-1	1727196	species	5127407	39	28	0.0
Algibacter alginolytica	1736674	species	3994770	12	9	0.0
Devosia sp. A16	1736675	species	5032994	59	39	0.0
Woeseia	1738655	genus	0	1	0	0.0
Burkholderia sp. Bp5365	1740162	species	7287809	49	5	0.0
Burkholderia sp. Bp7605	1740163	species	5705688	45	33	0.0
Paenarthrobacter	1742992	genus	0	1	0	0.0
Marinobacter sp. LQ44	1749259	species	4435564	38	22	0.0
Kurthia sp. 11kri321	1750719	species	2964527	4	3	0.0
Nostoc sp. NIES-3756	1751286	species	6987571	3	3	0.0
Streptomyces sp. 4F	1751294	species	8047771	77	45	0.0
Fischerella sp. NIES-3754	1752063	species	5826863	7	6	0.0
Leptolyngbya sp. NIES-3755	1752064	species	6761657	11	9	0.0
Mycobacterium phage Iracema64	1755681	species	51637	1	0	0.0
Pseudomonas phage PPPL-1	1755692	species	41149	1	1	0.0
Serinicoccus sp. JLT9	1758689	species	3597394	65	46	0.0
Caulobacteraceae bacterium OTSz_A_272	1759059	species	3732719	23	17	0.0
Serratia sp. YD25	1759437	species	5117644	28	5	0.0
Isosphaeraceae	1763524	family	0	1	0	0.0
Flavobacterium sp. LPB0076	1763534	species	3027315	1	1	0.0
Hydrogenophaga sp. LPB0072	1763535	species	4944132	30	21	0.0
Thalassotalea sp. LPB0090	1763536	species	3861670	2	1	0.0
Paenibacillus sp. LPB0068	1763538	species	4757181	2	2	0.0
Deinococcus actinosclerus	1768108	species	3264334	39	18	0.0
Paucibacter sp. KCTC 42545	1768242	species	5169161	43	21	0.0
Microbulbifer sp. CCB-MM1	1769779	species	3864326	64	38	0.0
Arthrobacter sp. ATCC 21022	1771959	species	4434904	19	11	0.0
Polaribacter vadi	1774273	species	3809314	13	9	0.0
Bacillus sp. SDLI1	1774743	species	4134042	6	3	0.0
Nevskiales	1775403	order	0	1	0	0.0
Rhodanobacteraceae	1775411	family	0	7	0	0.0
Alteromonas sp. Mac1	1777491	species	4696291	3	0	0.0
Candidatus Doolittlea endobia	1778262	species	846562	2	2	0.0
Streptomyces sp. S10(2016)	1783515	species	9083372	95	59	0.0
Mycobacterium phage Bactobuster	1784956	species	52129	1	0	0.0
Pseudomonas sp. MS586	1785145	species	6247726	39	14	0.0
Gemella sp. oral taxon 928	1785995	species	1769679	2	2	0.0
Leptotrichia sp. oral taxon 847	1785996	species	2194935	5	2	0.0
Pseudomonas sp. L10.10	1788301	species	5149788	17	8	0.0
Acinetobacter sp. BRTC-1	1789224	species	3741098	4	2	0.0
Wenyingzhuangia fucanilytica	1790137	species	3427057	3	3	0.0
Bosea sp. PAMC 26642	1792307	species	5510355	85	49	0.0
Yangia sp. CCB-MM3	1792508	species	5522061	88	56	0.0
Stenotrophomonas sp. KCTC 12332	1793721	species	4541594	69	22	0.0
Burkholderia sp. PAMC 26561	1795043	species	7431919	46	9	0.0
Microbacterium sp. PAMC 28756	1795053	species	3539061	41	18	0.0
Frondihabitans sp. PAMC 28766	1795630	species	4766863	49	30	0.0
Variovorax sp. PAMC 28711	1795631	species	4316152	63	38	0.0
Burkholderia sp. PAMC 28687	1795874	species	6881273	46	9	0.0
Bacteroides sp. I48	1796613	species	4839918	4	3	0.0
Blautia sp. YL58	1796616	species	5128792	6	6	0.0
Burkholderia sp. OLGA172	1804984	species	8574890	51	28	0.0
Sphingorhabdus sp. M41	1806885	species	3339521	19	13	0.0
Arthrobacter sp. ZXY-2	1806905	species	5058708	14	8	0.0
Gammaproteobacteria bacterium TR3.2	1810504	species	3243537	82	56	0.0
Salmonella phage 118970_sal4	1810705	species	42418	1	0	0.0
Streptococcus pantholopis	1811193	species	2241302	1	0	0.0
Enterobacter cloacae complex 'Hoffmann cluster III'	1812934	species	4899947	13	0	0.0
Enterobacter cloacae complex 'Hoffmann cluster IV'	1812935	species	4899997	21	6	0.0
Geobacillus sp. JS12	1813182	species	3721489	7	2	0.0
Shigella sp. PAMC 28760	1813821	species	4558287	4	0	0.0
Streptococcus halotolerans	1814128	species	2182100	1	1	0.0
Pseudomonas phage phiMK	1815957	species	93129	1	0	0.0
Colwellia sp. PAMC 20917	1816218	species	4683314	5	5	0.0
Mycobacterium phage Panchino	1821537	species	43516	1	0	0.0
Mycobacterium phage Phrann	1821541	species	44872	1	0	0.0
Gordonia phage UmaThurman	1821563	species	50127	1	0	0.0
Marinobacterium sp. ST58-10	1821621	species	5191608	47	32	0.0
Edwardsiella anguillarum	1821960	species	4329652	30	8	0.0
Paraburkholderia	1822464	genus	0	5	0	0.0
Desulfuromonas sp. DDH964	1823759	species	3924652	114	81	0.0
Streptococcus marmotae	1825069	species	2322791	1	1	0.0
Bacillus sp. IHB B 7164	1827146	species	5036631	2	0	0.0
Brevundimonas sp. GW460-12-10-14-LB2	1827469	species	3263775	41	29	0.0
Enterobacter sp. ODB01	1827481	species	4534036	8	1	0.0
Lachnoclostridium sp. YL32	1834196	species	7225343	14	7	0.0
Ruminiclostridium sp. KB18	1834198	species	3802817	12	11	0.0
Parabacteroides sp. YL27	1834200	species	3306456	11	10	0.0
Burkholderiales bacterium YL45	1834205	species	2923068	2	2	0.0
Erysipelotrichaceae bacterium I46	1834207	species	4468295	5	4	0.0
Polynucleobacter duraquae	1835254	species	2026292	4	2	0.0
Bacillus sp. FJAT-14266	1837130	species	4109356	1	0	0.0
Gordonia phage Splinter	1838080	species	45858	1	0	0.0
Gordonia phage Vendetta	1838082	species	45858	1	0	0.0
Opitutaceae bacterium IG16b	1838286	species	4199284	76	63	0.0
Streptomyces sp. RTd22	1841249	species	11142275	97	66	0.0
Acidovorax sp. RAC01	1842533	species	4574859	52	31	0.0
Sinorhizobium sp. RAC02	1842534	species	6626583	56	36	0.0
Blastomonas sp. RAC04	1842535	species	4403499	44	32	0.0
Agrobacterium sp. RAC06	1842536	species	4964647	41	29	0.0
Hydrogenophaga sp. RAC07	1842537	species	4674684	64	44	0.0
Bosea sp. RAC05	1842539	species	5620120	94	58	0.0
Methyloversatilis sp. RAC08	1842540	species	3937190	62	39	0.0
Sphingobium sp. RAC03	1843368	species	4369746	35	25	0.0
Selenomonadaceae	1843491	family	0	2	0	0.0
Lawsonella	1847725	genus	0	1	0	0.0
Exiguobacterium sp. U13-1	1849031	species	3208634	4	3	0.0
Arthrobacter sp. U41	1849032	species	4792631	29	16	0.0
Streptomyces sp. SAT1	1849967	species	7472530	78	49	0.0
Lutibacter sp. LPB0138	1850246	species	3426122	7	5	0.0
Rhodobacter sp. LPB0142	1850250	species	3780829	64	37	0.0
Arachidicoccus sp. BS20	1850526	species	3492500	4	2	0.0
Pseudomonas sp. A3(2016)	1853130	species	6823539	41	22	0.0
Chitinophagales	1853229	order	0	1	0	0.0
Hymenobacteraceae	1853232	family	0	3	0	0.0
haloarchaeon HTSR1	1855411	species	1972283	8	6	0.0
Sphingobium sp. EP60837	1855519	species	4261696	20	13	0.0
Pseudomonas sp. TCU-HL1	1856685	species	6256697	76	39	0.0
Halothiobacillus sp. LS2	1860122	species	2908964	38	23	0.0
Enterobacter sp. HK169	1868135	species	4551186	11	1	0.0
Prosthecochloris sp. CIB 2401	1868325	species	2399849	8	6	0.0
Rhizobium sp. S41	1869170	species	5524367	38	5	0.0
Enterobacter cloacae complex sp. 35734	1870930	species	5276896	29	13	0.307141
Mycobacterium phage Sneeze	1873887	species	42429	1	1	0.0
Marinobacter sp. Hb8	1874317	species	4121005	23	16	0.0
Mycobacterium sp. djl-10	1879023	species	6579322	65	36	0.0
Selenomonas sp. oral taxon 920	1884263	species	2440121	11	5	0.0
Brucella sp. 141012304	1885919	species	3442381	13	2	0.0
Cod iridovirus	1887316	species	115510	1	0	0.0
Gordonia phage CarolAnn	1887644	species	54167	2	1	0.0
Anaerolineaceae bacterium oral taxon 439	1889813	species	2945494	10	10	0.0
Synechococcales	1890424	order	0	7	0	0.0
Synechococcaceae	1890426	family	0	2	0	0.0
Cyanobacteriaceae	1890452	family	0	1	0	0.0
Brucella sp. 2002734562	1891098	species	3283485	1	0	0.0
Sulfolobus sp. A20	1891280	species	2688317	1	1	0.0
Mycobacterium phage Tonenili	1891703	species	160985	1	0	0.0
Mycobacterium phage Gengar	1891963	species	61626	1	0	0.0
Cyanothecaceae	1892249	family	0	1	0	0.0
Bacillus sp. ABP14	1892404	species	5152566	1	0	0.0
Porphyrobacter sp. LM 6	1896196	species	2979257	38	23	0.0
Spiroplasma sp. TU-14	1898044	species	1199640	1	1	0.0
Pectobacteriaceae	1903410	family	0	2	0	0.0
Yersiniaceae	1903411	family	0	3	0	0.0
Stenotrophomonas sp. LM091	1904944	species	4317450	60	28	0.0
Klebsiella sp. LTGPAF-6F	1905288	species	6790399	25	2	0.0
Pectobacterium parmentieri	1905730	species	5047366	11	1	0.0
Curtobacterium sp. BH-2-1-1	1905847	species	3795948	52	29	0.0
Hyphomonas sp. Mor2	1906738	species	3628091	22	18	0.0
Jeongeupia sp. USM3	1906741	species	3788814	69	45	0.0
Microbacterium sp. BH3-3-3	1906742	species	3508491	38	17	0.0
Pigeon adenovirus 2	1907767	species	41981	1	1	0.0
Actinomyces sp. VUL4_3	1912795	species	2207832	4	3	0.0
